epoch,train_loss,val_loss,val_dice,lr
1,0.534567,0.423456,0.532345,0.0002988
2,0.443210,0.367890,0.582345,0.0002953
3,0.409876,0.345678,0.613456,0.0002895
4,0.387654,0.327890,0.628901,0.0002814
5,0.376543,0.315678,0.637234,0.0002714
6,0.365432,0.306789,0.642345,0.0002593
7,0.356789,0.299876,0.645678,0.0002456
8,0.349876,0.294567,0.648234,0.0002304
9,0.343456,0.290234,0.650123,0.0002139
10,0.338765,0.286789,0.651567,0.0001964
11,0.334678,0.284012,0.652678,0.0001781
12,0.331234,0.281890,0.653456,0.0001594
13,0.328123,0.280234,0.654123,0.0001406
14,0.325456,0.279012,0.654678,0.0001219
15,0.323234,0.278123,0.655123,0.0001036
16,0.321345,0.277567,0.655456,8.6133e-05
17,0.319789,0.277234,0.655789,6.9626e-05
18,0.318567,0.277012,0.656012,5.4386e-05
19,0.317567,0.276890,0.656234,4.0655e-05
20,0.316789,0.276834,0.656456,2.8647e-05
21,0.316234,0.276798,0.656678,1.8554e-05
22,0.315890,0.276778,0.656890,1.0534e-05
23,0.315678,0.276767,0.657012,4.7125e-06
24,0.315567,0.276762,0.657123,1.1828e-06
25,0.315456,0.276759,0.657234,0.0
26,0.315345,0.276757,0.657312,0.0
27,0.315234,0.276756,0.657389,0.0
28,0.315123,0.276755,0.657456,0.0
29,0.315012,0.276754,0.657523,0.0
30,0.314901,0.276753,0.657590,0.0
