epoch,train_loss,val_loss,val_dice,lr
1,0.521234,0.418765,0.542345,0.0002988
2,0.429876,0.362345,0.592345,0.0002953
3,0.395432,0.338765,0.618901,0.0002895
4,0.372345,0.319876,0.633456,0.0002814
5,0.361234,0.308765,0.642345,0.0002714
6,0.352345,0.301234,0.648234,0.0002593
7,0.345678,0.295678,0.652456,0.0002456
8,0.340123,0.291234,0.655678,0.0002304
9,0.335678,0.287890,0.658234,0.0002139
10,0.331890,0.285234,0.660123,0.0001964
11,0.328567,0.283234,0.661567,0.0001781
12,0.325678,0.281678,0.662678,0.0001594
13,0.323234,0.280456,0.663456,0.0001406
14,0.321234,0.279567,0.664012,0.0001219
15,0.319567,0.278901,0.664456,0.0001036
16,0.318234,0.278456,0.664789,8.6133e-05
17,0.317123,0.278123,0.665045,6.9626e-05
18,0.316234,0.277901,0.665234,5.4386e-05
19,0.315567,0.277767,0.665389,4.0655e-05
20,0.315089,0.277689,0.665512,2.8647e-05
21,0.314789,0.277634,0.665623,1.8554e-05
22,0.314567,0.277598,0.665734,1.0534e-05
23,0.314423,0.277578,0.665823,4.7125e-06
24,0.314345,0.277567,0.665912,1.1828e-06
25,0.314289,0.277562,0.665978,0.0

