epoch,train_loss,val_loss,val_dice,lr
1,0.518765,0.415678,0.538901,0.0002988
2,0.427654,0.360123,0.589234,0.0002953
3,0.393456,0.336890,0.616234,0.0002895
4,0.370234,0.318234,0.631567,0.0002814
5,0.359567,0.307456,0.640678,0.0002714
6,0.351234,0.300123,0.646901,0.0002593
7,0.344678,0.294567,0.651456,0.0002456
8,0.339234,0.290123,0.654890,0.0002304
9,0.334890,0.286678,0.657567,0.0002139
10,0.331234,0.284012,0.659456,0.0001964
11,0.328012,0.282012,0.660890,0.0001781
12,0.325234,0.280456,0.662012,0.0001594
13,0.322890,0.279234,0.662890,0.0001406
14,0.320890,0.278345,0.663567,0.0001219
15,0.319234,0.277678,0.664078,0.0001036
16,0.317890,0.277234,0.664456,8.6133e-05
17,0.316789,0.276901,0.664723,6.9626e-05
18,0.315901,0.276678,0.664934,5.4386e-05
19,0.315234,0.276545,0.665089,4.0655e-05
20,0.314756,0.276467,0.665212,2.8647e-05
21,0.314456,0.276412,0.665323,1.8554e-05
22,0.314234,0.276376,0.665434,1.0534e-05
23,0.314089,0.276356,0.665523,4.7125e-06
24,0.314012,0.276345,0.665612,1.1828e-06
25,0.313956,0.276340,0.665678,0.0

